hostname,default_flag,sy_snum,sy_pnum,discoverymethod,rv_flag,soltype,pl_controv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,,,,,,,,,,0.95,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2015-01,2014-10-29
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,K0 IV-V,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2015-04,2015-02-12
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=BUTLER_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...474L.115B/abstract target=ref> Butler et al. 1997 </a>,G8 V,5200.00,,,0,,,,,0.85,,,0,0.230,,,0,[Fe/H],4.50,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,1997-01,2016-11-10
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,,,,,,,,,,0.95,0.08,-0.08,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2004-10,2016-10-13
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.00,123.30,-171.85,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,0.350,0.100,-0.100,0,[M/H],4.42,0.05,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2012-11,2014-05-14
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=MARCY_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...581.1375M/abstract target=ref> Marcy et al. 2002 </a>,G8 V,,,,,,,,,0.95,,,0,0.270,,,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2002-12,2016-10-06
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.00,123.30,-171.85,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,0.350,0.100,-0.100,0,[M/H],4.42,0.05,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2008-03,2014-05-16
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.00,123.30,-171.85,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,0.350,0.100,-0.100,0,[M/H],4.42,0.05,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2014-06,2014-08-21
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,,,,,,,,,,0.95,0.08,-0.08,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2004-10,2016-10-13
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.00,123.30,-171.85,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,0.350,0.100,-0.100,0,[M/H],4.42,0.05,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2014-06,2014-08-21
55 Cnc,0,2,5,Radial Velocity,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5250.00,123.30,-171.85,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,0.350,0.100,-0.100,0,[M/H],4.42,0.05,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2012-11,2014-05-14
